Study_ID,Group,Intervention,Sample_Size,AMD_Baseline,AMD_Baseline_SD,Timepoint,Change_AMD,AMD_SD
Ailani2021,Pharma,Atogepant,221,6.5,0.2,T3,-3.6,0.2
Ailani2021,Pharma,Atogepant,228,6.6,0.2,T3,-3.6,0.2
Ailani2021,Pharma,Atogepant,231,6.9,0.2,T3,-3.9,0.2
Schwedt2022,Pharma,Atogepant,221,6.6,3,T1,-3.3,
Schwedt2022,Pharma,Atogepant,228,6.7,3,T1,-3.2,
Schwedt2022,Pharma,Atogepant,231,6.9,3.2,T1,-3.9,
Pozo-Rosich2023,Pharma,Atogepant,257,14.5,7.2,T3,-6.7,0.4
Pozo-Rosich2023,Pharma,Atogepant,262,15.5,7.4,T3,-6.2,0.4
Schwedt2024,Pharma,Rimegepant,293,6.9,3.7,T3,-3.6,0.2
Khani2021,Pharma,Valproate,88,6.4,0.95,T1,-2.25,0.93
Khani2021,Pharma,Valproate,88,6.4,0.95,T3,-4.68,0.58
Chowdhury2.2022,Pharma,Topiramate,41,14,5.7,T3,-7.4,0.48
Chowdhury2.2022,Pharma,GONB MethylTopiramate,42,11.3,4,T3,-8.9,0.48
Chowdhury2.2022,Pharma,GONB Topiramate,38,13.1,6.3,T3,-8.4,0.5
Lipton2021,Pharma,Erenumab,216,12,5.7,T1,-4.7,
Lipton2021,Pharma,Erenumab,216,12,5.7,T3,-5.3,0.6
Lipton2021,Pharma,Erenumab,91,12,5.8,T1,-4,
Lipton2021,Pharma,Erenumab,91,12,5.8,T3,-4.9,0.6
Schwedt2024,Pharma,Galcanezumab,287,6.8,4,T3,-4,0.2
Okonkwo2021,Pharma,Galcanezumab,56,10.4,3,T3,-3.5,0.5
Okonkwo2021,Pharma,Galcanezumab,43,16.7,6.9,T3,-7,0.5
Pazdera2021,Pharma,Fremanezumab,140,12.4,6.3,T1,-4.2,
Pazdera2021,Pharma,Fremanezumab,140,12.4,6.3,T3,-4,
Pazdera2021,Pharma,Fremanezumab,133,11.5,5.8,T1,-2.9,
Pazdera2021,Pharma,Fremanezumab,133,11.5,5.8,T3,-2.6,
Pazdera2021,Pharma,Fremanezumab,85,12.6,6.7,T1,-2.6,
Pazdera2021,Pharma,Fremanezumab,85,12.6,6.7,T3,-1.9,
Pazdera2021,Pharma,Fremanezumab,98,12.8,6,T1,-5.7,
Pazdera2021,Pharma,Fremanezumab,98,12.8,6,T3,-5.6,
Pazdera2021,Pharma,Fremanezumab,49,14.3,5.1,T1,-5.4,
Pazdera2021,Pharma,Fremanezumab,49,14.3,5.1,T3,-5,
Pazdera2021,Pharma,Fremanezumab,50,12.5,6.2,T1,-4.2,
Pazdera2021,Pharma,Fremanezumab,50,12.5,6.2,T3,-4,
DeIcco2021,NIBS,a-tDCS-C3,10,24,4.2,T1,-16.3,3
Hodaj2022,NIBS,a-tDCS-C3,17,5.5,4,T1,-1.7,3.9
Hodaj2022,NIBS,a-tDCS-C3,17,5.5,4,T3,-1.8,3.4
Aksu2023,NIBS,a-tDCS-C3,11,13.27,7.88,T1,-6.55,9.22
Aksu2023,NIBS,a-tDCS-C3,11,13.27,7.88,T3,-6.82,5.22
Cerrahoglu2021,NIBS,a-tDCS-C3,21,11.71,0.5,T1,-5.48,1.3
Cerrahoglu2021,NIBS,a-tDCS-C3,15,8.4,0.5,T1,-4.67,1.3
Pohl2021,NIBS,a-tDCS-O1,11,4,3,T3,-0.9,0.4
Deng2020,NIBS,PMES,45,6.2,2.06,T3,-4.27,0.31
Deng2020,NIBS,STS,45,5.5,2.83,T3,-3.7,0.23
Najib2022,NIBS,nVNS,56,8.2,3.5,T3,-2.53,1.17
Tepper2023,NIBS,REN,128,11.3,3.8,T3,-3.9,4.5