Study_ID,Group,Intervention,Sample_Size,Percent_Response
Ailani2021,Pharma,Atogepant,221,55.6
Ailani2021,Pharma,Atogepant,228,58.7
Ailani2021,Pharma,Atogepant,231,60.8
Pozo-Rosich2023,Pharma,Atogepant,257,43
Pozo-Rosich2023,Pharma,Atogepant,262,41
Schwedt2024,Pharma,Rimegepant,293,61
Croop2021,Pharma,Rimegepant,370,49
Roghani2024,Pharma,Venlafaxine,100,77
Roghani2024,Pharma,Nortriptyline,101,79.2
Reuter2022,Pharma,Topiramate,388,31.2
Chowdhury2.2022,Pharma,Topiramate,41,39
Chowdhury2.2022,Pharma,GONB MethylTopiramate,42,71.4
Chowdhury2.2022,Pharma,GONB Topiramate,38,62.3
Reuter2022,Pharma,Erenumab,388,55.4
Lipton2021,Pharma,Erenumab,216,41.5
Lipton2021,Pharma,Erenumab,91,44
Schwedt2024,Pharma,Galcanezumab,287,62
Okonkwo2021,Pharma,Galcanezumab,56,41.1
Okonkwo2021,Pharma,Galcanezumab,43,41.5
Ruff2020,Pharma,Galcanezumab,316,66.7
Ruff2020,Pharma,Galcanezumab,128,63.1
Ruff2020,Pharma,Galcanezumab,51,57.3
Ruff2020,Pharma,Galcanezumab,331,64.7
Ruff2020,Pharma,Galcanezumab,104,58.6
Ruff2020,Pharma,Galcanezumab,45,54
Sakai2020,Pharma,Galcanezumab,115,49.8
Sakai2020,Pharma,Galcanezumab,114,48.2
Sakai2021,Pharma,Fremanezumab,189,29
Sakai2021,Pharma,Fremanezumab,191,29.1
Pazdera2021,Pharma,Fremanezumab,140,39
Pazdera2021,Pharma,Fremanezumab,133,41
Pazdera2021,Pharma,Fremanezumab,85,32
Pazdera2021,Pharma,Fremanezumab,98,28
Pazdera2021,Pharma,Fremanezumab,49,27
Pazdera2021,Pharma,Fremanezumab,50,32
Ashina2020,Pharma,Eptinezumab,223,50.2
Ashina2020,Pharma,Eptinezumab,224,56.3
Ashina2020,Pharma,Eptinezumab,213,49.8
DeIcco2021,NIBS,a-tDCS-C3,10,70
Hodaj2022,NIBS,a-tDCS-C3,17,36
Aksu2023,NIBS,a-tDCS-C3,11,56.8
Cerrahoglu2021,NIBS,a-tDCS-C3,21,60
Cerrahoglu2021,NIBS,a-tDCS-C3,15,24
Deng2020,NIBS,PMES,45,77.8
Deng2020,NIBS,STS,45,62.2
Najib2022,NIBS,nVNS,56,44.87
Najib2022,NIBS,nVNS,56,44.36
Tepper2023,NIBS,REN,128,51.6